"nameWithOwner","stars__totalCount","createdAt","contributors","metrics__metric","metrics__value","metrics__bestValue"
"","","","","ncloc_language_distribution","kotlin=706;xml=215",""
"","","","","files","44",""
"","","","","violations","6","False"
"","","","","code_smells","6","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","921",""
"","","","","comment_lines","5",""
"","","","","functions","65",""
"","","","","statements","205",""
"","","","","comment_lines_density","0.5","False"
"mozilla-mobile/fenix","2323","2018-03-22T09:55:43Z","86","statements","10023",""
"","","","","ncloc_language_distribution","css=339;kotlin=30303;py=1118;web=128;xml=18419",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","2010",""
"","","","","comment_lines","15101",""
"","","","","ncloc","50307",""
"","","","","complexity","3526",""
"","","","","lines","72211",""
"","","","","files","764",""
"","","","","comment_lines_density","23.1","False"
"","","","","code_smells","249","False"
"","","","","violations","275","False"
"arturbosch/detekt","2308","2016-10-23T21:04:45Z","98","lines","45057",""
"","","","","comment_lines_density","9.6","False"
"","","","","files","738",""
"","","","","functions","1213",""
"","","","","complexity","2623",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","3947",""
"","","","","ncloc_language_distribution","css=1394;js=108;kotlin=34773;web=928;xml=35",""
"","","","","statements","10582",""
"","","","","code_smells","272","False"
"","","","","violations","383","False"
"","","","","ncloc","37238",""
"mockk/mockk","2268","2017-10-17T22:31:23Z","29","files","286",""
"","","","","code_smells","238","False"
"","","","","ncloc","20469",""
"","","","","ncloc_language_distribution","css=17;java=1416;js=60;kotlin=18665;web=262;xml=49",""
"","","","","violations","243","False"
"","","","","comment_lines_density","4.2","False"
"","","","","sqale_rating","1.0","True"
"","","","","statements","6798",""
"","","","","lines","25291",""
"","","","","comment_lines","889",""
"","","","","complexity","2521",""
"","","","","functions","1691",""
"ToxicBakery/ViewPagerTransforms","2253","2014-05-13T02:52:53Z","8","functions","37",""
"","","","","comment_lines_density","43.3","False"
"","","","","comment_lines","429",""
"","","","","code_smells","2","False"
"","","","","statements","162",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=499;xml=63",""
"","","","","complexity","78",""
"","","","","violations","2","False"
"","","","","lines","1130",""
"","","","","files","26",""
"","","","","ncloc","562",""
"JakeWharton/kotterknife","2253","2014-10-20T06:05:55Z","14","violations","0","True"
"","","","","lines","299",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","1",""
"","","","","statements","86",""
"","","","","ncloc","258",""
"","","","","complexity","19",""
"","","","","comment_lines_density","0.4","False"
"","","","","ncloc_language_distribution","kotlin=252;xml=6",""
"","","","","files","3",""
"","","","","functions","18",""
"","","","","code_smells","0","True"
"zagum/Android-SwitchIcon","2230","2017-01-08T19:56:28Z","3","violations","0","True"
"","","","","ncloc_language_distribution","kotlin=241;xml=150",""
"","","","","ncloc","391",""
"","","","","code_smells","0","True"
"","","","","lines","492",""
"","","","","files","11",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","34",""
"","","","","statements","108",""
"","","","","comment_lines_density","10.1","False"
"","","","","functions","20",""
"","","","","comment_lines","44",""
"TonicArtos/SuperSLiM","2137","2014-12-18T19:15:24Z","1","code_smells","131","False"
"","","","","lines","7825",""
"","","","","ncloc","6104",""
"","","","","comment_lines","656",""
"","","","","violations","138","False"
"","","","","statements","2635",""
"","","","","comment_lines_density","9.7","False"
"","","","","complexity","1033",""
"","","","","files","58",""
"","","","","functions","626",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=873;kotlin=4797;web=236;xml=198",""
"JetBrains/kotlinconf-app","2136","2017-10-26T11:37:25Z","15","files","85",""
"","","","","comment_lines","93",""
"","","","","statements","1045",""
"","","","","lines","3546",""
"","","","","code_smells","4","False"
"","","","","violations","4","False"
"","","","","ncloc_language_distribution","kotlin=2514;xml=495",""
"","","","","functions","136",""
"","","","","complexity","222",""
"","","","","ncloc","3009",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","3.0","False"
"afollestad/aesthetic","2084","2017-05-11T01:10:04Z","7","comment_lines","1159",""
"","","","","lines","8377",""
"","","","","functions","241",""
"","","","","code_smells","7","False"
"","","","","files","119",""
"","","","","statements","1513",""
"","","","","ncloc","7326",""
"","","","","ncloc_language_distribution","kotlin=6055;xml=1271",""
"","","","","violations","7","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","13.7","False"
"","","","","complexity","629",""
"garretyoder/Colorful","2040","2016-10-04T23:37:42Z","2","violations","1","False"
"","","","","ncloc_language_distribution","kotlin=268;xml=757",""
"","","","","comment_lines_density","2.3","False"
"","","","","comment_lines","24",""
"","","","","lines","1195",""
"","","","","complexity","51",""
"","","","","ncloc","1025",""
"","","","","statements","80",""
"","","","","functions","37",""
"","","","","files","17",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","1","False"
"didi/booster","2035","2019-04-23T08:23:13Z","2","functions","3878",""
"","","","","comment_lines_density","23.5","False"
"","","","","lines","49752",""
"","","","","ncloc_language_distribution","java=24645;js=37;kotlin=5772",""
"","","","","files","211",""
"","","","","ncloc","30454",""
"","","","","comment_lines","9366",""
"","","","","statements","11062",""
"","","","","complexity","6052",""
"","","","","violations","1717","False"
"","","","","code_smells","1652","False"
"","","","","sqale_rating","1.0","True"
"Kodein-Framework/Kodein-DI","1985","2015-04-16T09:19:43Z","29","lines","17380",""
"","","","","functions","696",""
"","","","","code_smells","478","False"
"","","","","ncloc","14228",""
"","","","","complexity","1020",""
"","","","","ncloc_language_distribution","java=428;kotlin=13794;xml=6",""
"","","","","comment_lines_density","27.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","5385",""
"","","","","violations","478","False"
"","","","","files","188",""
"","","","","statements","4812",""
"nhaarman/mockito-kotlin","1954","2016-01-18T20:48:20Z","24","comment_lines","1040",""
"","","","","comment_lines_density","27.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","2805",""
"","","","","ncloc_language_distribution","kotlin=2505;xml=300",""
"","","","","lines","4129",""
"","","","","statements","875",""
"","","","","complexity","288",""
"","","","","functions","273",""
"","","","","code_smells","108","False"
"","","","","files","34",""
"","","","","violations","108","False"
"square/kotlinpoet","1954","2017-03-01T04:59:42Z","93","comment_lines_density","10.9","False"
"","","","","sqale_rating","1.0","True"
"","","","","functions","1330",""
"","","","","lines","23966",""
"","","","","code_smells","195","False"
"","","","","ncloc","20287",""
"","","","","files","78",""
"","","","","statements","5168",""
"","","","","complexity","2192",""
"","","","","violations","195","False"
"","","","","comment_lines","2476",""
"","","","","ncloc_language_distribution","css=27;java=129;kotlin=20131",""
"TwidereProject/Twidere-Android","1941","2014-07-03T05:48:27Z","26","files","1951",""
"","","","","comment_lines","22734",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","17180",""
"","","","","ncloc_language_distribution","java=34967;kotlin=71271;web=571;xml=45204",""
"","","","","ncloc","152013",""
"","","","","functions","8369",""
"","","","","code_smells","1512","False"
"","","","","violations","1624","False"
"","","","","lines","205718",""
"","","","","comment_lines_density","13.0","False"
"","","","","statements","40311",""
"DroidNinja/Android-FilePicker","1907","2016-07-31T20:07:34Z","8","comment_lines","210",""
"","","","","complexity","732",""
"","","","","code_smells","45","False"
"","","","","ncloc","4195",""
"","","","","lines","5352",""
"","","","","ncloc_language_distribution","java=1266;kotlin=2748;xml=181",""
"","","","","sqale_rating","1.0","True"
"","","","","files","65",""
"","","","","statements","1599",""
"","","","","comment_lines_density","4.8","False"
"","","","","violations","51","False"
"","","","","functions","376",""
"coil-kt/coil","1892","2019-08-10T21:28:21Z","8","comment_lines","1325",""
"","","","","code_smells","114","False"
"","","","","statements","2436",""
"","","","","ncloc_language_distribution","css=4;kotlin=8295;xml=184",""
"","","","","files","158",""
"","","","","ncloc","8483",""
"","","","","complexity","975",""
"","","","","functions","628",""
"","","","","comment_lines_density","13.5","False"
"","","","","violations","114","False"
"","","","","lines","10570",""
"","","","","sqale_rating","1.0","True"
"dev-labs-bg/transitioner","1879","2017-12-08T07:39:39Z","1","comment_lines","35",""
"","","","","complexity","18",""
"","","","","comment_lines_density","4.6","False"
"","","","","violations","3","False"
"","","","","statements","59",""
"","","","","lines","776",""
"","","","","code_smells","3","False"
"","","","","ncloc","722",""
"","","","","functions","10",""
"","","","","ncloc_language_distribution","kotlin=164;xml=558",""
"","","","","files","18",""
"","","","","sqale_rating","1.0","True"
"android10/Android-CleanArchitecture-Kotlin","1878","2017-05-26T12:55:52Z","6","code_smells","28","False"
"","","","","ncloc","2786",""
"","","","","lines","3331",""
"","","","","files","79",""
"","","","","comment_lines","1021",""
"","","","","complexity","168",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","kotlin=2431;xml=355",""
"","","","","statements","448",""
"","","","","functions","138",""
"","","","","comment_lines_density","26.8","False"
"","","","","violations","28","False"
"kotlintest/kotlintest","1810","2015-11-29T16:32:15Z","103","code_smells","303","False"
"","","","","ncloc_language_distribution","java=5;js=17;kotlin=37452;xml=201",""
"","","","","statements","14561",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","45137",""
"","","","","ncloc","37675",""
"","","","","complexity","3100",""
"","","","","comment_lines_density","16.0","False"
"","","","","violations","308","False"
"","","","","functions","2276",""
"","","","","files","582",""
"","","","","comment_lines","7186",""
"spekframework/spek","1795","2012-11-05T20:59:59Z","56","files","172",""
"","","","","violations","36","False"
"","","","","sqale_rating","1.0","True"
"","","","","statements","1845",""
"","","","","ncloc_language_distribution","kotlin=5224;xml=419",""
"","","","","ncloc","5643",""
"","","","","complexity","661",""
"","","","","code_smells","36","False"
"","","","","comment_lines","122",""
"","","","","comment_lines_density","2.1","False"
"","","","","lines","6983",""
"","","","","functions","402",""
"antoniolg/Bandhook-Kotlin","1782","2015-03-21T19:41:38Z","8","files","138",""
"","","","","violations","44","False"
"","","","","code_smells","44","False"
"","","","","statements","861",""
"","","","","comment_lines","1836",""
"","","","","ncloc","3182",""
"","","","","lines","6014",""
"","","","","functions","268",""
"","","","","complexity","301",""
"","","","","ncloc_language_distribution","kotlin=3109;xml=73",""
"","","","","comment_lines_density","36.6","False"
"","","","","sqale_rating","1.0","True"
"SimpleMobileTools/Simple-Calendar","1752","2016-01-26T21:02:54Z","82","comment_lines","887",""
"","","","","comment_lines_density","3.6","False"
"","","","","lines","29459",""
"","","","","ncloc_language_distribution","kotlin=10430;xml=13644",""
"","","","","complexity","1835",""
"","","","","statements","5278",""
"","","","","functions","708",""
"","","","","code_smells","67","False"
"","","","","sqale_rating","1.0","True"
"","","","","files","258",""
"","","","","violations","68","False"
"","","","","ncloc","24074",""
"Tinder/Scarlet","1719","2018-05-29T17:23:18Z","9","sqale_rating","1.0","True"
"","","","","code_smells","0","True"
"","","","","violations","0","True"
"JakeWharton/SdkSearch","1689","2017-12-14T03:45:05Z","18","comment_lines","109",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","44","False"
